,MSC,Dead
0,1000,0
1,1002,2
2,993,12
3,993,14
4,993,20
5,994,24
6,992,30
7,994,31
8,991,38
9,991,42
10,991,46
11,989,51
12,990,54
13,988,60
14,985,67
15,986,70
16,980,80
17,979,84
18,976,90
19,977,95
20,974,100
21,976,103
22,973,109
23,977,111
24,979,114
25,982,119
26,984,123
27,985,127
28,986,132
29,986,138
30,988,140
31,988,140
32,989,144
33,998,146
34,1000,150
35,996,156
36,1000,160
37,1004,162
38,1007,165
39,1011,167
40,1016,172
41,1021,173
42,1021,175
43,1028,180
44,1033,182
45,1039,183
46,1044,186
47,1049,190
48,1057,192
49,1061,194
50,1071,195
51,1075,198
52,1080,200
53,1089,205
54,1098,209
55,1105,211
56,1108,216
57,1114,222
58,1123,225
59,1125,226
60,1131,232
61,1141,239
62,1139,244
63,1145,249
64,1153,251
65,1153,259
66,1159,264
67,1167,266
68,1174,270
69,1176,275
70,1182,280
71,1188,286
72,1190,291
